_domain,_tier,_mode,user_id,nickname,_gender,fans,total_likes,total_collects,post_count,ip_location,source_keywords
hiking,10k+,engagement,5c2f07d7000000000602ef1c,stouthammerlite,unknown,,365000,65000,5,陕西,"徒步, 户外徒步"
hiking,10k+,engagement,5de317fe0000000001000b90,008,unknown,,170000,8990,5,,"徒步, 户外徒步"
hiking,10k+,engagement,55fd50d53397db30829507c1,-MONKI-,unknown,,151000,16636,8,,"徒步, 户外徒步, 登山"
hiking,10k+,engagement,5c6a9f09000000001200a79d,Uhey_,unknown,,90000,19740,5,,"徒步, 徒步路线, 户外徒步"
hiking,10k+,engagement,5a4e3d9a4eacab78c72b3846,好吧小李,unknown,,86000,4924,2,,"徒步, 徒步路线"
hiking,10k+,engagement,59958f9982ec395ab380cfeb,linn1,unknown,,85000,4560,5,,"户外徒步, 登山"
hiking,10k+,engagement,5f79a78e000000000100a415,林智,unknown,,80000,39575,5,,"徒步, 户外徒步"
hiking,10k+,engagement,5fedd5af0000000001005e5c,麦当当,unknown,,60010,14510,10,,"徒步, 徒步路线, 户外徒步, 登山"
hiking,10k+,engagement,62acaeb0000000001b029cf6,DollNamedkim,unknown,,49877,8855,5,,"户外徒步, 登山"
hiking,10k+,engagement,58d6e9b76a6a691cffc60284,出发吧周小煦,unknown,,39608,43776,11,,"徒步, 徒步路线, 户外徒步"
hiking,10k+,engagement,6155d8fc0000000002022554,彭高,unknown,,35000,1951,1,,徒步路线
hiking,10k+,engagement,58100c6c34609405ccc6cfbb,柠橘,unknown,,35000,8477,1,,徒步路线
hiking,10k+,engagement,560898be3397db286cbf5f53,momo,unknown,,32000,2874,2,上海,徒步
hiking,10k+,engagement,55fd0dc5e4b1cf2d48350ac7,ccliyaxx,unknown,,29730,2400,5,,"徒步, 户外徒步"
hiking,10k+,engagement,5cd2422f0000000011021d05,镜语,unknown,,29701,5971,7,,"徒步, 户外徒步, 登山"
hiking,10k+,engagement,609f5b43000000000101d1de,Parzival,unknown,,26416,25627,7,,"徒步, 徒步路线, 户外徒步"
hiking,10k+,engagement,60c9be8c0000000001000d6d,探路小明📷,unknown,,26000,26000,2,,户外徒步
hiking,10k+,engagement,53a99808b4c4d653583a2f92,suki酱,unknown,,24830,29580,5,,"徒步, 徒步路线"
hiking,10k+,engagement,6249c509000000001000fea0,小辣椒儿,unknown,,23238,3237,3,,登山
hiking,10k+,engagement,5af403eb4eacab4677fded06,陳背心,unknown,,22550,7641,3,广东,徒步
hiking,10k+,engagement,5e083c58000000000100794b,狂阿弥_,unknown,,19428,672,2,,"徒步, 登山"
hiking,10k+,engagement,5ab8bc244eacab5e89d151b5,七喜,unknown,,18952,7840,4,,"户外徒步, 登山"
hiking,10k+,engagement,672af592000000001d02c0fa,小绿到处跑（6月中川西）,unknown,,18514,18896,4,,"徒步, 户外徒步"
hiking,10k+,engagement,6073e0af0000000001003b0a,小彭很OK,unknown,,17337,16366,2,湖南,徒步路线
hiking,10k+,engagement,5e3ed03200000000010089c1,inferiority,unknown,,16467,1191,3,,登山
hiking,10k+,engagement,53eb7333b4c4d668d4ba3c35,CeliaCC,unknown,,16299,25959,3,,登山
hiking,10k+,engagement,5c51222d000000001a02941e,游侠客杭州站,unknown,,16179,3912,3,,登山
hiking,10k+,engagement,5cc30554000000001202f410,此沙是个小演员,unknown,,16000,685,1,北京,登山
hiking,10k+,engagement,59fe769811be100494c891d2,银山,unknown,,15378,10716,2,,徒步路线
hiking,10k+,engagement,5cca609f00000000120291b7,关耳夕犬灬,unknown,,15078,6136,2,,徒步路线
hiking,10k+,engagement,5a4ceed54eacab617609812c,Mikakamii,unknown,,15002,17566,4,,徒步路线
hiking,10k+,engagement,5597f1b23397db58ab473dbd,杨木木,unknown,,13962,13878,2,,户外徒步
